,id,x,y,vx,vy,fx,fy,E_pot,E_kin
5.0,2,37.361538,-57.91134,8.519020445722502,3.774423296733209,-15.08277935095066,-17.163654951195696,167.1051459648915,289.5446352261639
5.0,3,44.676403,-54.873737,4.181108640475398,4.517731818872921,23.848141624486743,-1.619291959168164,167.10367511352246,126.36838678613407
5.0,4,-54.169765,7.9581556,-9.03222468861848,0.38841083018003403,-0.0016095100053235,-0.00056206913495771,0.028308768837234932,272.5760392386323
5.0,5,-18.732128,1.4232236,8.598118445564207,1.7628087279273295,-0.0014571143719877,-0.0012717793445062853,0.06508642788752086,256.91217660971944
5.0,6,11.943976,-8.660589,-10.431714979089719,0.8966323752649612,0.0008886452886827101,-0.001188465659765825,0.0465054910131542,365.59813111616256
5.0,7,61.016884,-1.0550135,-8.212749879008728,-0.3001677635049981,0.0002686536734408662,1.3647317235410128e-05,0.005852023261206128,225.2437698067872
5.0,8,-46.403786,69.30903,-7.609894510149597,-9.488948267802789,-0.03831518425655389,0.009715613904738518,0.7840462615061086,493.4153633382828
5.0,9,-26.29601,64.83331,9.628061426628022,-1.788919406559651,0.0382988241661959,-0.009615350340489215,0.7845003823920512,319.82583125942404
6.0,0,-61.03564,-58.27175,2.643812444808484,-10.081441635660703,-0.00026646471769709024,-0.0002327943763766882,0.004543224122213885,362.26507433801874
6.0,1,-12.921787,-51.665073,-8.339291455268823,-4.685788572986695,-0.00032473238479724387,-0.0007930854590085801,0.013659037729182606,305.15382241638537
6.0,2,37.784153,-57.72644,8.374748888389798,3.6082196072643207,-17.80062131578933,-20.396429158776893,193.46188326819131,277.3241517055725
6.0,3,44.89072,-54.648098,4.408588310422266,4.509558475071641,28.08447984011579,-1.3212982003199585,193.4606541473558,132.6388480504925
6.0,4,-54.621376,7.9775763,-9.032234491230874,0.3884072916944334,-0.0013971663639722465,-0.0004991369887648034,0.02491293094022361,272.57662062962146
6.0,5,-18.302223,1.5113639,8.598104475853493,1.7627991401775378,-0.001710472555259912,-0.0012664908863371238,0.06803746305137462,256.91126272331894
6.0,6,11.422391,-8.615758,-10.431706367406639,0.8966206422627366,0.001048893451411459,-0.0014216445270562872,0.05267709825732973,365.597461750266
6.0,7,60.606247,-1.0700219,-8.212747797268335,-0.3001676411836519,0.00027459247674599396,1.5403878379061098e-05,0.005932578981480812,225.2436555261561
6.0,8,-46.784286,68.83458,-7.610093130540211,-9.488906135144571,-0.029776973823461006,0.0066689553130387935,0.6279802066295528,493.42277841876034
6.0,9,-25.8146,64.743866,9.628259880742977,-1.7889607551373798,0.029756725991477495,-0.006565758602597782,0.6283850830419196,319.8390693300125
7.0,0,-60.90345,-58.77582,2.6438102946494193,-10.081443508081898,-0.00027968145832346636,-0.0002437675452000576,0.004724483843905408,362.26516232927094
7.0,1,-13.338752,-51.899364,-8.339293764357834,-4.685794369458165,-0.00031310638405557256,-0.000778978499056393,0.013398590167216692,305.1541320192795
7.0,2,38.199013,-57.550518,8.20878784460746,3.4147607934194784,-20.69103018057632,-23.946715191522614,221.27445867072353,263.6143718287568
7.0,3,45.11726,-54.422783,4.670146311002396,4.505497560070029,32.607096101708464,-0.8593499258615154,221.27344745005396,140.4360990579375
7.0,4,-55.072987,7.9969964,-9.032243055232863,0.3884041315085383,-0.0012181706223373112,-0.00044493096947917365,0.022033050969968975,272.5771283812142
7.0,5,-17.872318,1.5995036,8.598087953000134,1.762789257516426,-0.0020166462632005278,-0.0012915207580590504,0.07282801455026962,256.91019895049436
7.0,6,10.900805,-8.570928,-10.43169606947562,0.8966064999602141,0.0012487035945696334,-0.0017087204664676392,0.06017564578745418,365.59666064911613
7.0,7,60.19561,-1.0850302,-8.212745667836357,-0.3001675049169958,0.0002808158600977606,1.7231456775235188e-05,0.006018600798830819,225.24353860513574
7.0,8,-47.164795,68.36014,-7.610248239751843,-9.488877268360953,-0.02321494639241184,0.004572037899350789,0.5048660309501734,493.42882473235187
7.0,9,-25.333183,64.65442,9.628414794733732,-1.7889888172039885,0.023190831878348916,-0.004466041935472731,0.5052200594971397,319.8493529125071
8.0,0,-60.77126,-59.279896,2.6438080329764952,-10.081445474891588,-0.00029398098013189156,-0.00025579443001788604,0.004923214253673651,362.2652547011078
8.0,1,-13.755716,-52.133656,-8.33929600243549,-4.685800089694853,-0.00030295856413431466,-0.000767520089084428,0.013184771993822224,305.15443528989744
8.0,2,38.60503,-57.384964,8.021976433272178,3.19363487564766,-23.587376300551284,-27.668096342281373,249.16492261082306,248.6289510657824
8.0,3,45.357735,-54.19755,4.96485170544817,4.5067842080708065,37.17657845307039,-0.22410219656869756,249.16410845538607,149.9444559446187
8.0,4,-55.524597,8.016417,-9.032250569367417,0.3884012975030885,-0.0010667051085420098,-0.00039820662732381606,0.019583110165902584,272.57757372899323
8.0,5,-17.442415,1.6876428,8.598068285798703,1.7627788703277985,-0.002391651012658258,-0.0013451732265821192,0.07968813831231099,256.90894892242693
8.0,6,10.379221,-8.526097,-10.431683656366026,0.8965893613858489,0.0014987844011784546,-0.0020644458465426396,0.0693174476298269,365.59569445879686
8.0,7,59.784973,-1.1000385,-8.212743488670704,-0.30016735424172575,0.00028731659178760083,1.9124487074861918e-05,0.006110084004057085,225.24341893093717
8.0,8,-47.54531,67.8857,-7.6103698596450435,-9.488857525331287,-0.01816819127111735,0.0031296199695702853,0.4075594067566246,493.4337486996608
8.0,9,-24.851759,64.56497,9.62853619056907,-1.7890077354437228,0.01814022085489242,-0.003020917435691217,0.4078609482904666,319.85737493167034
9.0,0,-60.63907,-59.78397,2.6438056508638663,-10.08144754486149,-0.0003094333560511586,-0.00026895039508190166,0.005140497753819195,362.2653518859771
9.0,1,-14.172681,-52.367947,-8.339298179191502,-4.6858057527987995,-0.0002941605544037884,-0.0007586390593132819,0.013016005116271566,305.1547333642208
9.0,2,39.00121,-57.23115,7.817094485887233,2.946452554695165,-26.25390824370203,-31.32829851923979,275.2159926337878,232.74481044262473
9.0,3,45.613747,-53.972107,5.288936968113471,4.51439752744754,41.45082078506198,0.5673798831762848,275.2153575319814,161.2560520271534
9.0,4,-55.97621,8.035836,-9.032257190408075,0.38839874490031473,-0.0009380659906241817,-0.0003579060266929446,0.017492952204858168,272.57796600162624
9.0,5,-17.012512,1.7757815,8.598044712026203,1.7627677790622778,-0.0028555583287470654,-0.0014261286992223177,0.08894820530217208,256.90746658152784
9.0,6,9.857637,-8.481268,-10.43166857918845,0.896568471967603,0.0018130332385908332,-0.0025081257941224067,0.08050326694593614,365.59452047713125
9.0,7,59.374336,-1.1150469,-8.212741257812693,-0.3001671887558929,0.00029408480453696484,2.107567496700824e-05,0.00620698920589778,225.24329639546306
9.0,8,-47.92583,67.411255,-7.610465649475972,-9.488844054171073,-0.014279996234854764,0.0021378203455029166,0.33045006311915665,493.43775853558185
9.0,9,-24.370329,64.475525,9.628631727622501,-1.7890203620432836,0.014248188013155527,-0.002026468925386382,0.3306974242845173,319.86366124461716
10.0,0,-60.506878,-60.288044,2.6438031387977645,-10.081449727405245,-0.00032611429332973785,-0.0002833175747127825,0.005377510113060507,362.2654543491255
